"PCIP01"	"PCIP03"	"PCIP04"	"PCIP05"	"PCIP09"	"PCIP10"	"PCIP11"	"PCIP12"	"PCIP13"	"PCIP14"	"PCIP15"	"PCIP16"	"PCIP19"	"PCIP22"	"PCIP23"	"PCIP24"	"PCIP25"	"PCIP26"	"PCIP27"	"PCIP29"	"PCIP30"	"PCIP31"	"PCIP38"	"PCIP39"	"PCIP40"	"PCIP41"	"PCIP42"	"PCIP43"	"PCIP44"	"PCIP45"	"PCIP46"	"PCIP47"	"PCIP48"	"PCIP49"	"PCIP50"	"PCIP51"	"PCIP52"	"PCIP54"	"CIP01BACHL"	"CIP03BACHL"	"CIP04BACHL"	"CIP05BACHL"	"CIP09BACHL"	"CIP10BACHL"	"CIP11BACHL"	"CIP12BACHL"	"CIP13BACHL"	"CIP14BACHL"	"CIP15BACHL"	"CIP16BACHL"	"CIP19BACHL"	"CIP22BACHL"	"CIP23BACHL"	"CIP24BACHL"	"CIP25BACHL"	"CIP26BACHL"	"CIP27BACHL"	"CIP29BACHL"	"CIP30BACHL"	"CIP31BACHL"	"CIP38BACHL"	"CIP39BACHL"	"CIP40BACHL"	"CIP41BACHL"	"CIP42BACHL"	"CIP43BACHL"	"CIP44BACHL"	"CIP45BACHL"	"CIP46BACHL"	"CIP47BACHL"	"CIP48BACHL"	"CIP49BACHL"	"CIP50BACHL"	"CIP51BACHL"	"CIP52BACHL"	"CIP54BACHL"	"NPT4_PUB"	"NPT41_PUB"	"NPT42_PUB"	"NPT43_PUB"	"NPT44_PUB"	"NPT45_PUB"	"NPT4_048_PUB"	"NPT4_3075_PUB"	"NPT4_75UP_PUB"	"NUM4_PUB"	"NUM41_PUB"	"NUM42_PUB"	"NUM43_PUB"	"NUM44_PUB"	"NUM45_PUB"	"PCTPELL"	"C150_4"	"D150_4"	"C150_4_NRA"	"PCTFLOAN"	"COMPL_RPY_1YR_RT"	"FEMALE_RPY_1YR_RT"	"MALE_RPY_1YR_RT"	"COMPL_RPY_3YR_RT"	"FEMALE_RPY_3YR_RT"	"MALE_RPY_3YR_RT"	"COMPL_RPY_5YR_RT"	"FEMALE_RPY_5YR_RT"	"MALE_RPY_5YR_RT"	"GRAD_DEBT_MDN"	"WDRAW_DEBT_MDN"	"LO_INC_DEBT_MDN"	"MD_INC_DEBT_MDN"	"HI_INC_DEBT_MDN"	"DEP_DEBT_MDN"	"IND_DEBT_MDN"	"PELL_DEBT_MDN"	"NOPELL_DEBT_MDN"	"FEMALE_DEBT_MDN"	"MALE_DEBT_MDN"	"FIRSTGEN_DEBT_MDN"	"NOTFIRSTGEN_DEBT_MDN"	"DEBT_N"	"GRAD_DEBT_N"	"WDRAW_DEBT_N"	"LO_INC_DEBT_N"	"MD_INC_DEBT_N"	"HI_INC_DEBT_N"	"DEP_DEBT_N"	"IND_DEBT_N"	"PELL_DEBT_N"	"NOPELL_DEBT_N"	"FEMALE_DEBT_N"	"MALE_DEBT_N"	"FIRSTGEN_DEBT_N"	"NOTFIRSTGEN_DEBT_N"	"FEMALE_RPY_1YR_N"	"MALE_RPY_1YR_N"	"FEMALE_RPY_3YR_N"	"MALE_RPY_3YR_N"	"FEMALE_RPY_5YR_N"	"MALE_RPY_5YR_N"	"MN_EARN_WNE_INDEP0_P6"	"MN_EARN_WNE_INDEP1_P6"	"MN_EARN_WNE_MALE0_P6"	"MN_EARN_WNE_MALE1_P6"	"GRAD_DEBT_MDN_SUPP"	"FEMALE_RPY_3YR_RT_SUPP"	"MALE_RPY_3YR_RT_SUPP"	"C100_4"	"D150_4_WHITE"	"D150_4_BLACK"	"D150_4_HISP"	"D150_4_ASIAN"	"D150_4_AIAN"	"D150_4_NHPI"	"D150_4_2MOR"	"D150_4_NRA"	"D150_4_UNKN"	"Year"
"4.2200000000000001E-2"	"1.83E-2"	"1.1900000000000001E-2"	"2.8E-3"	"5.8099999999999999E-2"	"0"	"6.0000000000000001E-3"	"0"	"3.1099999999999999E-2"	"0.1431"	"0"	"1.84E-2"	"4.0500000000000001E-2"	"0"	"1.7500000000000002E-2"	"1.6000000000000001E-3"	"0"	"8.6199999999999999E-2"	"1.4200000000000001E-2"	"0"	"2.8E-3"	"1.78E-2"	"2.5999999999999999E-3"	"0"	"1.4800000000000001E-2"	"0"	"5.4100000000000002E-2"	"0"	"2.0400000000000001E-2"	"0.1031"	"0"	"0"	"0"	"3.0999999999999999E-3"	"2.3099999999999999E-2"	"8.77E-2"	"0.16980000000000001"	"8.8999999999999999E-3"	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	2	1	1	"17231"	"8442"	"10850"	"15463"	"20029"	"22376"	"9431"	"13517"	"21517"	"2570"	"419"	"292"	"400"	"534"	"925"	"0.20419999999999999"	"0.8367"	"6651"	"0.84930000000000005"	"0.41410000000000002"	"NULL"	"NULL"	"NULL"	"0.74679682729999997"	"0.60499999999999998"	"0.65182231079999997"	"0.78910268620000001"	"0.66584503269999995"	"0.69376463079999995"	"21500"	"7500"	"13500"	"16000"	"16415.5"	"15500"	"16000"	"17000"	"14393"	"15500"	"15500"	"15695"	"15500"	"19962"	"12021"	"8131"	"5060"	"5714"	"9188"	"17301"	"2661"	"10097"	"9865"	"10221"	"9741"	"5525"	"14437"	"NULL"	"NULL"	"9200"	"9027"	"9331"	"9398"	"NULL"	"NULL"	"NULL"	"NULL"	"21500"	"0.60499999999999998"	"0.65182231079999997"	"0.58740000000000003"	"4981"	"401"	"232"	"373"	"24"	"0"	"77"	"491"	"72"	"2016-17"
"2.9499999999999998E-2"	"1.29E-2"	"6.0000000000000001E-3"	"2.8999999999999998E-3"	"8.7300000000000003E-2"	"0"	"6.1699999999999998E-2"	"0"	"3.15E-2"	"0.1681"	"0"	"1.29E-2"	"2.0199999999999999E-2"	"0"	"9.1999999999999998E-3"	"8.0000000000000004E-4"	"0"	"5.6099999999999997E-2"	"1.6500000000000001E-2"	"0"	"1.2800000000000001E-2"	"3.4099999999999998E-2"	"3.2000000000000002E-3"	"0"	"3.3599999999999998E-2"	"2E-3"	"3.4599999999999999E-2"	"3.5499999999999997E-2"	"0"	"7.6600000000000001E-2"	"0"	"0"	"0"	"0"	"2.1499999999999998E-2"	"5.4800000000000001E-2"	"0.16900000000000001"	"6.4999999999999997E-3"	2	1	1	1	1	0	2	0	2	2	0	1	2	0	1	2	0	1	1	0	1	1	1	0	2	1	2	2	0	2	0	0	0	0	1	1	2	1	"29806"	"20873"	"22463"	"26481"	"31105"	"33278"	"21488"	"25045"	"32730"	"2314"	"266"	"168"	"302"	"398"	"1180"	"0.15459999999999999"	"0.85529999999999995"	"7321"	"0.81379999999999997"	"0.4733"	"NULL"	"NULL"	"NULL"	"0.79319371729999999"	"0.63328010219999997"	"0.723372872"	"0.86977286610000004"	"0.71661927120000002"	"0.77700306549999998"	"26120"	"9500"	"18750"	"20500"	"19750"	"20281"	"18000"	"21500"	"19000"	"19500"	"19750"	"19500"	"19970"	"35253"	"19877"	"15580"	"9569"	"10638"	"15046"	"28537"	"6716"	"17890"	"17363"	"17654"	"17599"	"11540"	"23713"	"NULL"	"NULL"	"15655"	"16271"	"15121"	"16637"	"NULL"	"NULL"	"NULL"	"NULL"	"26120"	"0.63328010219999997"	"0.723372872"	"0.67520000000000002"	"5484"	"305"	"425"	"302"	"4"	"1"	"172"	"596"	"32"	"2016-17"
"3.6600000000000001E-2"	"1.6199999999999999E-2"	"1.4E-3"	"1.23E-2"	"5.8700000000000002E-2"	"0"	"2.8899999999999999E-2"	"0"	"1.6899999999999998E-2"	"0.1176"	"0"	"3.3099999999999997E-2"	"2.64E-2"	"9.4000000000000004E-3"	"1.9699999999999999E-2"	"0"	"0"	"0.14249999999999999"	"2.1499999999999998E-2"	"0"	"2.7199999999999998E-2"	"1.43E-2"	"6.1999999999999998E-3"	"0"	"1.9900000000000001E-2"	"0"	"3.8199999999999998E-2"	"0"	"1.14E-2"	"0.1129"	"0"	"0"	"0"	"0"	"1.9800000000000002E-2"	"6.4600000000000005E-2"	"0.12559999999999999"	"1.8599999999999998E-2"	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	2	1	1	"19320"	"7667"	"10700"	"16445"	"21835"	"23663"	"9235"	"14298"	"23069"	"1838"	"170"	"182"	"305"	"384"	"797"	"0.1353"	"0.84930000000000005"	"5920"	"0.81399999999999995"	"0.33660000000000001"	"NULL"	"NULL"	"NULL"	"0.87777176850000005"	"0.82854209450000005"	"0.85095729009999999"	"0.90737240080000003"	"0.8737962494"	"0.87117903929999996"	"22241"	"11628.5"	"17000"	"21436.5"	"19568.5"	"19799.5"	"17853.5"	"21650"	"19444"	"20500"	"19200"	"20100"	"19500"	"7934"	"6035"	"1978"	"1014"	"2028"	"4892"	"7420"	"514"	"2626"	"5308"	"4175"	"3759"	"1221"	"6713"	"NULL"	"NULL"	"3896"	"3395"	"3946"	"3206"	"NULL"	"NULL"	"NULL"	"NULL"	"22241"	"0.82854209450000005"	"0.85095729009999999"	"0.56369999999999998"	"4676"	"120"	"226"	"343"	"17"	"9"	"144"	"371"	"14"	"2016-17"
"5.9200000000000003E-2"	"9.9000000000000008E-3"	"2.8999999999999998E-3"	"3.5999999999999999E-3"	"2.1899999999999999E-2"	"0"	"5.4899999999999997E-2"	"0"	"3.95E-2"	"0.20519999999999999"	"6.2600000000000003E-2"	"6.0000000000000001E-3"	"1.5599999999999999E-2"	"0"	"7.6E-3"	"6.1000000000000004E-3"	"0"	"3.1699999999999999E-2"	"3.5299999999999998E-2"	"0"	"4.7999999999999996E-3"	"1.43E-2"	"8.9999999999999998E-4"	"0"	"2.1600000000000001E-2"	"0"	"2.23E-2"	"0"	"0"	"4.6399999999999997E-2"	"0"	"5.0000000000000001E-4"	"0"	"1.6299999999999999E-2"	"1.7899999999999999E-2"	"7.0400000000000004E-2"	"0.21679999999999999"	"6.0000000000000001E-3"	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	"13545"	"4250"	"6005"	"10828"	"17605"	"21323"	"5103"	"8767"	"19806"	"2087"	"327"	"309"	"414"	"423"	"614"	"0.17710000000000001"	"0.76319999999999999"	"6454"	"0.77890000000000004"	"0.31219999999999998"	"NULL"	"NULL"	"NULL"	"0.85841584159999995"	"0.75647269930000005"	"0.8001206515"	"0.90328407219999995"	"0.8144329897"	"0.84081556300000004"	"20428"	"7000"	"15571"	"16845.5"	"18500"	"17380"	"15404"	"18000"	"16162"	"16874"	"17500"	"18500"	"16856"	"7840"	"5901"	"1964"	"1427"	"2182"	"4231"	"7349"	"491"	"3552"	"4288"	"3584"	"4256"	"1759"	"6081"	"NULL"	"NULL"	"3901"	"4973"	"3977"	"5346"	"NULL"	"NULL"	"NULL"	"NULL"	"20428"	"0.75647269930000005"	"0.8001206515"	"0.48830000000000001"	"4593"	"216"	"227"	"387"	"6"	"7"	"121"	"796"	"101"	"2016-17"
"6.4399999999999999E-2"	"8.0000000000000002E-3"	"1.9099999999999999E-2"	"1.1599999999999999E-2"	"7.51E-2"	"0"	"3.4299999999999997E-2"	"0"	"2.3199999999999998E-2"	"0.2041"	"0"	"9.1000000000000004E-3"	"7.6E-3"	"0"	"1.9300000000000001E-2"	"2.0999999999999999E-3"	"0"	"7.0199999999999999E-2"	"2.3300000000000001E-2"	"0"	"9.4999999999999998E-3"	"0.04"	"2.2000000000000001E-3"	"0"	"3.0800000000000001E-2"	"0"	"5.4300000000000001E-2"	"0"	"6.7000000000000002E-3"	"7.7600000000000002E-2"	"0"	"0"	"0"	"0"	"2.1600000000000001E-2"	"5.2999999999999999E-2"	"0.12330000000000001"	"9.5999999999999992E-3"	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	2	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	"18143"	"6906"	"11154"	"16974"	"23933"	"27207"	"8606"	"14297"	"26183"	"2784"	"613"	"409"	"480"	"401"	"881"	"0.2049"	"0.85170000000000001"	"6974"	"0.77829999999999999"	"0.37590000000000001"	"NULL"	"NULL"	"NULL"	"0.82599118940000005"	"0.75823071119999996"	"0.80812387789999995"	"0.8584598698"	"0.80100896860000004"	"0.83473906170000001"	"20500"	"8750"	"16500"	"19551"	"18500"	"18750"	"15205.5"	"19231.5"	"17750"	"19000"	"18250"	"18500"	"18634"	"9496"	"7267"	"2262"	"2129"	"2707"	"4660"	"9082"	"414"	"4450"	"5046"	"4403"	"5093"	"1972"	"7524"	"NULL"	"NULL"	"3979"	"4456"	"3568"	"3794"	"NULL"	"NULL"	"NULL"	"NULL"	"20500"	"0.75823071119999996"	"0.80812387789999995"	"0.7097"	"4310"	"413"	"471"	"931"	"11"	"1"	"148"	"672"	"17"	"2015-16"
"0"	"8.5000000000000006E-3"	"3.0999999999999999E-3"	"6.6E-3"	"0.21240000000000001"	"0"	"2.01E-2"	"0"	"5.0000000000000001E-3"	"0.1489"	"0"	"1.2E-2"	"0"	"5.0000000000000001E-3"	"2.3199999999999998E-2"	"8.0000000000000004E-4"	"0"	"5.0700000000000002E-2"	"2.5899999999999999E-2"	"0"	"8.5000000000000006E-3"	"0"	"5.7999999999999996E-3"	"0"	"1.6199999999999999E-2"	"0"	"7.2700000000000001E-2"	"0"	"3.9800000000000002E-2"	"0.16789999999999999"	"0"	"0"	"0"	"0"	"8.3199999999999996E-2"	"1.5900000000000001E-2"	"4.5600000000000002E-2"	"2.2100000000000002E-2"	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"0.1376"	"0.92759999999999998"	"2128"	"0.85840000000000005"	"0.30080000000000001"	"NULL"	"NULL"	"NULL"	"0.91913746630000004"	"0.86161137440000002"	"0.88004484299999997"	"0.9309188464"	"0.90530303030000003"	"0.88765294770000003"	"18000"	"11000"	"8000"	"18599"	"18008"	"18000"	"6000"	"18420"	"15333"	"15425"	"16554"	"12865"	"16483"	"2414"	"1829"	"606"	"583"	"594"	"1237"	"1977"	"437"	"729"	"1685"	"1271"	"1143"	"300"	"2114"	"NULL"	"NULL"	"1055"	"892"	"1056"	"899"	"NULL"	"NULL"	"NULL"	"NULL"	"18000"	"0.86161137440000002"	"0.88004484299999997"	"0.82420000000000004"	"1186"	"117"	"148"	"467"	"3"	"1"	"31"	"113"	"62"	"2015-16"
"0"	"2.0999999999999999E-3"	"0"	"5.3E-3"	"7.6799999999999993E-2"	"1.5E-3"	"5.2699999999999997E-2"	"0"	"6.5100000000000005E-2"	"0"	"2.9999999999999997E-4"	"2.0299999999999999E-2"	"1.89E-2"	"0"	"1.29E-2"	"4.24E-2"	"0"	"7.6399999999999996E-2"	"1.4200000000000001E-2"	"0"	"1.5E-3"	"7.4099999999999999E-2"	"5.7000000000000002E-3"	"0"	"1.46E-2"	"0"	"4.5900000000000003E-2"	"1.67E-2"	"6.7599999999999993E-2"	"8.6199999999999999E-2"	"0"	"4.0000000000000002E-4"	"0"	"0"	"4.9700000000000001E-2"	"4.0399999999999998E-2"	"0.19889999999999999"	"9.5999999999999992E-3"	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	2	1	"15349"	"5875"	"8070"	"14989"	"20641"	"22226"	"6791"	"11944"	"21628"	"2600"	"518"	"371"	"472"	"468"	"771"	"0.16039999999999999"	"0.77059999999999995"	"7301"	"0.74939999999999996"	"0.32019999999999998"	"NULL"	"NULL"	"NULL"	"0.86912393160000001"	"0.73924302789999996"	"0.71311643130000002"	"0.89375000000000004"	"0.79882429779999997"	"0.76461038960000005"	"22482.5"	"7750"	"14983"	"18404"	"18916"	"17819.5"	"18000"	"18524"	"17289"	"18200"	"17500"	"17362.5"	"18000"	"9572"	"5898"	"3717"	"1902"	"2618"	"5052"	"9076"	"496"	"4154"	"5418"	"4989"	"4583"	"2066"	"7506"	"NULL"	"NULL"	"5020"	"4887"	"4593"	"4312"	"NULL"	"NULL"	"NULL"	"NULL"	"22482.5"	"0.73924302789999996"	"0.71311643130000002"	"0.60119999999999996"	"5833"	"348"	"249"	"307"	"13"	"12"	"114"	"387"	"38"	"2015-16"
"0"	"7.1999999999999998E-3"	"0"	"4.4999999999999997E-3"	"8.09E-2"	"0"	"1.5900000000000001E-2"	"0"	"1.7299999999999999E-2"	"9.1600000000000001E-2"	"0"	"1.7999999999999999E-2"	"0"	"0"	"4.1099999999999998E-2"	"4.1300000000000003E-2"	"0"	"2.9100000000000001E-2"	"2.5399999999999999E-2"	"0"	"2.93E-2"	"0.12709999999999999"	"5.0000000000000001E-3"	"0"	"1.2200000000000001E-2"	"0"	"5.7799999999999997E-2"	"0"	"9.9000000000000008E-3"	"8.3199999999999996E-2"	"0"	"0"	"0"	"0"	"5.28E-2"	"5.7599999999999998E-2"	"0.1804"	"1.24E-2"	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	2	0	1	1	0	2	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	2	1	"14085"	"8188"	"10650"	"13560"	"16223"	"17551"	"9251"	"12298"	"17004"	"1385"	"237"	"180"	"235"	"302"	"431"	"0.1918"	"0.7208"	"4004"	"0.73450000000000004"	"0.43840000000000001"	"NULL"	"NULL"	"NULL"	"0.78741539230000002"	"0.71053315989999999"	"0.70820498460000003"	"0.83791402400000004"	"0.78280044100000001"	"0.77341003519999996"	"21500"	"8250"	"13500"	"16875"	"17857"	"17545"	"11766"	"18981"	"14849"	"16197"	"16649"	"16750"	"16250"	"8606"	"5385"	"3249"	"2117"	"2406"	"4083"	"7215"	"1391"	"3698"	"4908"	"4585"	"4021"	"1903"	"6703"	"NULL"	"NULL"	"3845"	"3571"	"3628"	"3129"	"NULL"	"NULL"	"NULL"	"NULL"	"21500"	"0.71053315989999999"	"0.70820498460000003"	"0.51100000000000001"	"3224"	"88"	"188"	"124"	"7"	"7"	"48"	"226"	"92"	"2015-16"
"2.5700000000000001E-2"	"8.3000000000000001E-3"	"8.2000000000000007E-3"	"1.5100000000000001E-2"	"6.2399999999999997E-2"	"0"	"5.1299999999999998E-2"	"0"	"4.8000000000000001E-2"	"0.1226"	"0"	"2.18E-2"	"2.35E-2"	"1E-4"	"2.3599999999999999E-2"	"0"	"0"	"9.5299999999999996E-2"	"1.84E-2"	"0"	"2.5999999999999999E-3"	"3.39E-2"	"6.4999999999999997E-3"	"0"	"2.1399999999999999E-2"	"0"	"4.7E-2"	"0"	"0"	"0.16669999999999999"	"0"	"0"	"0"	"0"	"2.6499999999999999E-2"	"1.6299999999999999E-2"	"0.13489999999999999"	"1.9800000000000002E-2"	1	1	1	2	1	0	2	0	1	1	1	1	1	1	1	1	0	2	1	0	2	1	1	0	1	0	1	1	0	1	0	0	0	0	1	2	1	1	"15634"	"5924"	"7903"	"12846"	"18745"	"22106"	"6857"	"10628"	"20913"	"1249"	"186"	"166"	"204"	"246"	"447"	"0.19409999999999999"	"0.86350000000000005"	"4199"	"0.71430000000000005"	"0.34399999999999997"	"NULL"	"NULL"	"NULL"	"0.85847623179999999"	"0.78726442029999999"	"0.81335227269999999"	"0.88581560280000005"	"0.81795511219999995"	"0.83075495050000003"	"19500"	"8500"	"14000"	"16500"	"16835.5"	"16050"	"15620"	"16500"	"15534.5"	"16500"	"15750"	"15000"	"16500"	"8069"	"5772"	"2332"	"1790"	"2053"	"4226"	"7062"	"1007"	"3701"	"4368"	"3903"	"4166"	"1657"	"6412"	"NULL"	"NULL"	"3502"	"3520"	"3208"	"3232"	"NULL"	"NULL"	"NULL"	"NULL"	"19500"	"0.78726442029999999"	"0.81335227269999999"	"0.69499999999999995"	"2630"	"367"	"275"	"676"	"7"	"2"	"94"	"84"	"64"	"2015-16"
"0"	"1.35E-2"	"9.7000000000000003E-3"	"1.3299999999999999E-2"	"3.2199999999999999E-2"	"0"	"5.7500000000000002E-2"	"0"	"1.3100000000000001E-2"	"0.1706"	"0"	"3.0499999999999999E-2"	"0"	"0"	"2.9499999999999998E-2"	"1.04E-2"	"0"	"9.4600000000000004E-2"	"2.81E-2"	"0"	"3.2599999999999997E-2"	"3.27E-2"	"5.1999999999999998E-3"	"0"	"1.5699999999999999E-2"	"0"	"0.1021"	"0"	"8.6E-3"	"0.1241"	"0"	"0"	"0"	"0"	"5.8000000000000003E-2"	"2.41E-2"	"7.4700000000000003E-2"	"1.9199999999999998E-2"	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	2	1	1	"14521"	"3414"	"6561"	"9761"	"17163"	"23687"	"4610"	"8453"	"21461"	"1563"	"289"	"177"	"256"	"287"	"554"	"0.15379999999999999"	"0.90110000000000001"	"6019"	"0.88990000000000002"	"0.32019999999999998"	"NULL"	"NULL"	"NULL"	"0.82168123179999997"	"0.77324263039999996"	"0.79336650080000004"	"0.84050094519999996"	"0.7936333699"	"0.80461481209999997"	"20062.5"	"8545"	"15876"	"20400"	"19200"	"19250"	"12032.5"	"19170"	"18784"	"19041"	"18900"	"18872.5"	"19000"	"7001"	"5906"	"1129"	"1360"	"1768"	"3873"	"6691"	"310"	"2861"	"4140"	"3510"	"3491"	"1078"	"5923"	"NULL"	"NULL"	"3087"	"3015"	"2733"	"2687"	"NULL"	"NULL"	"NULL"	"NULL"	"20062.5"	"0.77324263039999996"	"0.79336650080000004"	"0.74809999999999999"	"4316"	"237"	"251"	"727"	"8"	"2"	"198"	"218"	"62"	"2015-16"
"5.7200000000000001E-2"	"1.15E-2"	"3.3999999999999998E-3"	"4.0000000000000002E-4"	"0.1152"	"5.9999999999999995E-4"	"1.21E-2"	"0"	"3.3599999999999998E-2"	"6.1899999999999997E-2"	"2.8500000000000001E-2"	"1.12E-2"	"1.5100000000000001E-2"	"8.3999999999999995E-3"	"1.9099999999999999E-2"	"6.0000000000000001E-3"	"0"	"9.8299999999999998E-2"	"9.1999999999999998E-3"	"0"	"1.83E-2"	"3.7600000000000001E-2"	"2.2000000000000001E-3"	"0"	"1.47E-2"	"0"	"4.5999999999999999E-2"	"2.2800000000000001E-2"	"8.6E-3"	"0.10249999999999999"	"1.8E-3"	"0"	"0"	"0"	"2.6700000000000002E-2"	"4.8399999999999999E-2"	"0.1734"	"5.3E-3"	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	2	1	1	"16788"	"6639"	"11872"	"18207"	"22115"	"24008"	"8466"	"15178"	"23315"	"3294"	"833"	"447"	"488"	"559"	"967"	"0.22109999999999999"	"0.77170000000000005"	"7249"	"0.70479999999999998"	"0.45040000000000002"	"NULL"	"NULL"	"NULL"	"0.76925986629999998"	"0.67508913349999999"	"0.71199226309999997"	"0.84906681090000002"	"0.773173573"	"0.77711864409999998"	"25250"	"8250"	"19750"	"24950"	"20112"	"21370"	"19250"	"24074.5"	"19500"	"21795.5"	"20435"	"24027"	"20500"	"13025"	"8991"	"4217"	"3218"	"3595"	"6212"	"12221"	"804"	"6386"	"6639"	"7170"	"5855"	"2961"	"10064"	"NULL"	"NULL"	"6451"	"5170"	"6009"	"4720"	"NULL"	"NULL"	"NULL"	"NULL"	"25250"	"0.67508913349999999"	"0.71199226309999997"	"0.5071"	"5207"	"600"	"226"	"353"	"31"	"6"	"78"	"630"	"118"	"2015-16"
"2.4199999999999999E-2"	"1.7999999999999999E-2"	"1.8100000000000002E-2"	"3.5000000000000001E-3"	"3.39E-2"	"0"	"3.5900000000000001E-2"	"5.0000000000000001E-3"	"4.99E-2"	"0.1019"	"2.9999999999999997E-4"	"2.3900000000000001E-2"	"1.9199999999999998E-2"	"0"	"6.0699999999999997E-2"	"0"	"0"	"0.1139"	"3.3599999999999998E-2"	"0"	"4.0399999999999998E-2"	"1.2800000000000001E-2"	"4.8999999999999998E-3"	"0"	"2.86E-2"	"0"	"7.1300000000000002E-2"	"0"	"0"	"0.1101"	"3.8E-3"	"0"	"0"	"0"	"4.2099999999999999E-2"	"2.7699999999999999E-2"	"0.10390000000000001"	"1.24E-2"	1	1	1	1	1	0	2	1	2	2	0	1	1	0	1	0	0	1	1	0	2	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	2	1	"16439"	"7368"	"8523"	"13010"	"19175"	"23109"	"7909"	"11048"	"21702"	"2184"	"321"	"283"	"364"	"435"	"781"	"0.2026"	"0.77200000000000002"	"5381"	"0.77459999999999996"	"0.4229"	"NULL"	"NULL"	"NULL"	"0.81647623079999998"	"0.734598631"	"0.7540710585"	"0.85164644710000004"	"0.77874186550000002"	"0.78202521349999998"	"20000"	"9442"	"16645"	"16750"	"16750"	"16500"	"18750"	"18221"	"15000"	"16600"	"16872.5"	"17644"	"16500"	"12773"	"8215"	"4640"	"3145"	"3490"	"6138"	"10917"	"1856"	"5956"	"6817"	"6985"	"5788"	"2489"	"10284"	"NULL"	"NULL"	"6428"	"5404"	"5532"	"4918"	"NULL"	"NULL"	"NULL"	"NULL"	"20000"	"0.734598631"	"0.7540710585"	"0.59250000000000003"	"3986"	"244"	"127"	"566"	"72"	"20"	"0"	"346"	"20"	"2015-16"
"8.3299999999999999E-2"	"1.9599999999999999E-2"	"1.7500000000000002E-2"	"1.9E-3"	"6.7699999999999996E-2"	"0"	"1.0200000000000001E-2"	"0"	"8.4400000000000003E-2"	"0.1045"	"1.4999999999999999E-2"	"1.4800000000000001E-2"	"9.0300000000000005E-2"	"0"	"2.18E-2"	"2.9999999999999997E-4"	"0"	"5.16E-2"	"7.4999999999999997E-3"	"0"	"5.8999999999999999E-3"	"0"	"2.3999999999999998E-3"	"0"	"9.9000000000000008E-3"	"0"	"5.5899999999999998E-2"	"9.7000000000000003E-3"	"0"	"3.95E-2"	"0"	"0"	"0"	"0"	"3.7100000000000001E-2"	"2.4400000000000002E-2"	"0.21010000000000001"	"1.4800000000000001E-2"	2	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	"16705"	"11782"	"12656"	"15629"	"19184"	"20264"	"12185"	"14389"	"19774"	"2210"	"356"	"305"	"426"	"509"	"614"	"0.2092"	"0.6704"	"3965"	"0.81669999999999998"	"0.39879999999999999"	"NULL"	"NULL"	"NULL"	"0.82398155269999995"	"0.72776280319999997"	"0.7433920705"	"0.87006822900000003"	"0.78971468830000002"	"0.78730980900000003"	"21533"	"7000"	"13134"	"14200"	"14250"	"13816.5"	"16900"	"15400"	"13000"	"13683"	"14309"	"13500"	"14000"	"7523"	"4017"	"3541"	"1567"	"2339"	"3617"	"6844"	"679"	"3488"	"4035"	"3722"	"3801"	"1728"	"5795"	"NULL"	"NULL"	"3339"	"3632"	"2839"	"3089"	"NULL"	"NULL"	"NULL"	"NULL"	"21533"	"0.72776280319999997"	"0.7433920705"	"0.32990000000000003"	"3409"	"117"	"169"	"99"	"19"	"0"	"0"	"60"	"92"	"2015-16"
