INSTNM,UNITID,Year,C100_4,C150_4,C150_4_NRA,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,DEBT_N,DEP_DEBT_MDN,DEP_DEBT_N,FEMALE_DEBT_MDN,FEMALE_DEBT_N,GRAD_DEBT_MDN,GRAD_DEBT_N,IND_DEBT_MDN,IND_DEBT_N,MALE_DEBT_MDN,MALE_DEBT_N,MD_INC_DEBT_MDN,MD_INC_DEBT_N,NOPELL_DEBT_MDN,NOPELL_DEBT_N,NOTFIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_N,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,PCTFLOAN,PCTPELL,PELL_DEBT_MDN,PELL_DEBT_N,WDRAW_DEBT_MDN,WDRAW_DEBT_N,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,D150_4,D150_4_2MOR,D150_4_AIAN,D150_4_ASIAN,D150_4_BLACK,D150_4_HISP,D150_4_NHPI,D150_4_NRA,D150_4_UNKN,D150_4_WHITE
University of Illinois at Urbana-Champaign,145637,2015-16,0.7097,0.8517,0.7783,NULL,0.825991189,0.85845987,9496,18750,9082,19000,4403,20500,7267,15205.5,414,18250,5093,19551,2707,17750,5046,18634,7524,6906,11154,16974,23933,27207,0.3759,0.2049,19231.5,4450,8750,2262,NULL,NULL,NULL,NULL,6974,148,11,931,413,471,1,672,17,4310
Northwestern University,147767,2015-16,0.8242,0.9276,0.8584,NULL,0.919137466,0.930918846,2414,18000,1977,15425,1271,18000,1829,6000,437,16554,1143,18599,594,15333,1685,16483,2114,NULL,NULL,NULL,NULL,NULL,0.3008,0.1376,18420,729,11000,606,NULL,NULL,NULL,NULL,2128,31,3,467,117,148,1,113,62,1186
Indiana University,151351,2015-16,0.6012,0.7706,0.7494,NULL,0.869123932,0.89375,9572,17819.5,9076,18200,4989,22482.5,5898,18000,496,17500,4583,18404,2618,17289,5418,18000,7506,5875,8070,14989,20641,22226,0.3202,0.1604,18524,4154,7750,3717,NULL,NULL,NULL,NULL,7301,114,13,307,348,249,12,387,38,5833
University of Iowa,153658,2015-16,0.511,0.7208,0.7345,NULL,0.787415392,0.837914024,8606,17545,7215,16197,4585,21500,5385,11766,1391,16649,4021,16875,2406,14849,4908,16250,6703,8188,10650,13560,16223,17551,0.4384,0.1918,18981,3698,8250,3249,NULL,NULL,NULL,NULL,4004,48,7,124,88,188,7,226,92,3224
University of Maryland,163286,2015-16,0.695,0.8635,0.7143,NULL,0.858476232,0.885815603,8069,16050,7062,16500,3903,19500,5772,15620,1007,15750,4166,16500,2053,15534.5,4368,16500,6412,5924,7903,12846,18745,22106,0.344,0.1941,16500,3701,8500,2332,NULL,NULL,NULL,NULL,4199,94,7,676,367,275,2,84,64,2630
University of Michigan - Ann Arbor,170976,2015-16,0.7481,0.9011,0.8899,NULL,0.821681232,0.840500945,7001,19250,6691,19041,3510,20062.5,5906,12032.5,310,18900,3491,20400,1768,18784,4140,19000,5923,3414,6561,9761,17163,23687,0.3202,0.1538,19170,2861,8545,1129,NULL,NULL,NULL,NULL,6019,198,8,727,237,251,2,218,62,4316
Michigan State University,171100,2015-16,0.5071,0.7717,0.7048,NULL,0.769259866,0.849066811,13025,21370,12221,21795.5,7170,25250,8991,19250,804,20435,5855,24950,3595,19500,6639,20500,10064,6639,11872,18207,22115,24008,0.4504,0.2211,24074.5,6386,8250,4217,NULL,NULL,NULL,NULL,7249,78,31,353,600,226,6,630,118,5207
University of Minnesota,174066,2015-16,0.5925,0.772,0.7746,NULL,0.816476231,0.851646447,12773,16500,10917,16600,6985,20000,8215,18750,1856,16872.5,5788,16750,3490,15000,6817,16500,10284,7368,8523,13010,19175,23109,0.4229,0.2026,18221,5956,9442,4640,NULL,NULL,NULL,NULL,5381,0,72,566,244,127,20,346,20,3986
University of Nebraska,181464,2015-16,0.3299,0.6704,0.8167,NULL,0.823981553,0.870068229,7523,13816.5,6844,13683,3722,21533,4017,16900,679,14309,3801,14200,2339,13000,4035,14000,5795,11782,12656,15629,19184,20264,0.3988,0.2092,15400,3488,7000,3541,NULL,NULL,NULL,NULL,3965,0,19,99,117,169,0,60,92,3409
Rutgers University,186380,2015-16,0.5838,0.8045,0.7155,NULL,0.768658878,0.812142324,20468,19500,16450,19499.5,10914,22000,14284,18454.5,4018,18750,9554,20500,5979,15750,8595,19000,13634,11728,13732,19869,26158,27610,0.5227,0.3095,21000,11873,10166,6305,NULL,NULL,NULL,NULL,5822,188,5,1583,397,626,27,116,87,2793
The Ohio State University,204796,2015-16,0.5852,0.8316,0.8582,NULL,0.749902191,0.800300946,20031,15000,17257,15367,10321,21500,11644,14500,2774,14795,9710,15695,5905,14000,9572,15000,14120,9959,12293,16652,20872,22606,0.428,0.2141,16000,10459,6500,8535,NULL,NULL,NULL,NULL,6724,0,25,430,375,189,0,275,133,5297
Penn State University,214777,2015-16,0.6429,0.8566,0.8065,NULL,0.815925543,0.884568354,34898,20166,28325,19500,17519,26687,20191,17173,6573,19500,17379,20000,10603,19000,16978,19750,23450,20670,22888,25753,30496,32944,0.4869,0.1609,20767.5,17920,8498,14858,NULL,NULL,NULL,NULL,6574,149,6,281,280,419,2,491,68,4878
University of Wisconsin,240444,2015-16,0.5604,0.8495,0.7956,NULL,0.889246498,0.910958904,8102,19530,7486,19892,4260,21796.5,6324,18264,616,19500,3842,21000,2122,18750,5315,19500,6875,8443,11061,17032,21726,23451,0.3489,0.1446,22000,2787,9950,1803,NULL,NULL,NULL,NULL,5673,145,18,322,136,268,6,274,110,4394
Purdue University,243780,2015-16,0.4654,0.7462,0.7883,NULL,0.869897544,0.914940422,8111,18500,7560,18205,3603,21500,6129,17002,551,18500,4508,17974,2355,17897,4283,18335,6236,4446,5796,11233,17953,20886,0.3316,0.189,18925,3828,7500,2025,NULL,NULL,NULL,NULL,6308,0,18,287,239,172,0,685,347,4560
University of Illinois at Urbana-Champaign,145637,2014-15,0.6922,0.8416,0.7269,0.809044423,0.83081466,0.880060252,9551,18500,9157,19000,4525,20500,7401,15261.5,394,18014,5026,19250,2771,18000,5052,18463,7464,7801,12231,17934,24625,27070,0.3893,0.2058,19000,4499,8500,2158,52100,56300,45400,58100,7277,142,14,983,478,519,5,681,39,4416
Northwestern University,147767,2014-15,0.8536,0.9331,0.9008,0.890384615,0.917130919,0.930983847,2697,17190,2166,14500,1457,16905,2011,6000,531,15500,1240,16666,696,14500,1933,15172,2372,NULL,NULL,NULL,NULL,NULL,0.3237,0.14,17092,764,10160,691,61500,94600,65600,80000,2077,27,2,439,82,148,1,121,90,1167
Indiana University,151351,2014-15,0.5944,0.7764,0.6912,0.789080728,0.870023981,0.888973771,10081,18000,9535,18725,5139,22529.5,5502,16000,546,17152.5,4942,18430,2828,17617,5565,18000,7911,4855,7515,13120,20153,21554,0.3183,0.1643,18142,4516,8975,4603,44300,41000,40600,47800,7550,98,14,299,343,227,5,217,40,6307
University of Iowa,153658,2014-15,0.4816,0.7004,0.7279,0.763515245,0.795769843,0.855915562,8693,17875,7247,16500,4583,21500,5516,9956.5,1446,16580,4110,17007,2490,15000,4984,16250,6765,8584,10751,14719,17575,18256,0.4554,0.1883,18750,3709,7500,3190,44200,63200,44300,51100,4182,0,21,144,102,139,11,147,160,3458
University of Maryland,163286,2014-15,0.6699,0.8475,0.7719,0.829950383,0.85,0.893649579,8045,16103.5,6992,17000,4001,19500,5793,15500,1053,15205.5,4044,16500,2150,15460,4310,16250,6376,6938,9521,14502,19152,21418,0.3501,0.1964,16786,3735,8340.5,2264,50100,50200,45300,54400,3907,87,8,579,514,283,5,57,87,2287
University of Michigan - Ann Arbor,170976,2014-15,0.7557,0.9087,0.8722,0.799120235,0.807033363,0.851497609,7304,19849.5,6952,19812,3687,20886,6093,13880,352,19500,3617,21085,1893,19500,4258,19500,6152,5470,7735,11409,18251,23327,0.342,0.1569,19761.5,3046,8083,1225,55400,58400,47900,64300,5738,213,11,649,309,232,2,227,274,3821
Michigan State University,171100,2014-15,0.5285,0.7886,0.672,0.70206644,0.794908062,0.859739118,13063,20748,12251,21500,7161,25215,8633,18529,812,19820,5902,24185.5,3656,19127.5,6630,20096.5,9990,6434,11999,17744,21775,23569,0.4632,0.227,23000,6433,8250,4497,45200,46000,40500,50900,7385,82,25,326,563,206,5,564,126,5488
University of Minnesota,174066,2014-15,0.5846,0.784,0.7473,0.789753826,0.828951536,0.863627766,13247,16400,11197,16579,7211,20500,8501,18500,2050,16500,6036,17265.5,3776,15000,6836,16230.5,10488,8650,9583,14683,20036,23108,0.4344,0.2076,18061,6411,8500,4771,44400,53300,41600,51100,5089,0,67,591,259,123,0,277,43,3729
University of Nebraska,181464,2014-15,0.3307,0.6679,0.7049,0.785071466,0.831308669,0.886828645,7788,13500,7059,13534,3801,21500,4278,14715,729,13656,3987,14017,2554,12475,4104,14000,5948,11395,12149,15016,19067,19869,0.3856,0.1989,14576,3684,7000,3534,39900,40000,35800,43700,4164,0,26,98,88,181,0,61,128,3582
Rutgers University,186380,2014-15,0.59,0.8068,0.775,0.727744737,0.768256741,0.82133995,20611,18750,16619,18500,10901,21500,13906,15974.5,3992,18000,9710,19500,6078,15000,8820,18000,14044,11953,14073,20537,25822,27086,0.5236,0.2996,20050,11791,9500,6743,46900,54700,45900,50600,5834,182,4,1511,455,640,34,80,115,2813
The Ohio State University,204796,2014-15,0.6145,0.835,0.7735,0.708298231,0.750618996,0.813353566,19727,15000,16790,15064,10176,21641,11152,14250,2937,14762,9551,15500,6005,14382,9165,15000,13723,10566,12647,16695,20492,22498,0.4401,0.2243,15750,10562,6500,8679,41700,40200,37500,45100,6151,0,19,360,363,190,0,234,80,4905
Penn State University,214777,2014-15,0.6556,0.8611,0.802,0.760363336,0.843335043,0.886916936,34662,20000,28348,19500,17271,26933,20123,16045,6314,19500,17391,19960,10795,19000,16532,19500,23225,20010,20750,25404,29648,31680,0.5021,0.1661,20107.5,18130,7500,14690,43500,44200,39000,47200,7241,0,6,409,269,320,0,404,0,5833
University of Wisconsin,240444,2014-15,0.5466,0.8368,0.8324,0.85400638,0.894757823,0.915054481,8250,20250,7585,20250,4409,22500,6396,18000,665,20000,3841,20994.5,2228,19000,5335,20000,6909,9235,10514,16747,21142,22851,0.3617,0.1522,22590,2915,9174,1873,49800,48100,44600,55000,5759,86,20,272,132,246,9,340,189,4465
Purdue University,243780,2014-15,0.4527,0.7295,0.7195,0.821917808,0.88204785,0.924428105,8606,19344,7967,19000,3709,22500,6453,17880,639,19500,4897,19103.5,2524,18875.5,4446,19072,6588,7153,8073,13391,18638,21144,0.3559,0.2017,19500,4160,7500,2169,48800,50800,43200,53300,7058,0,44,397,238,197,0,517,37,5628
University of Illinois at Urbana-Champaign,145637,2013-14,0.6839,0.838,0.7185,0.797632747,0.842634776,0.895244216,9353,18500,8972,18862,4451,20450,7247,13797,381,17950,4902,18500,2745,17500,5025,18107,7180,7954,12778,18603,24403,26925,0.4097,0.2019,18929,4328,8323,2149,48800,51900,43400,53800,6930,131,7,930,474,533,6,405,32,4412
Northwestern University,147767,2013-14,0.8615,0.9419,0.9,0.894204852,0.925820257,0.94275492,2799,17500,2189,14050,1504,16743.5,2300,6000,610,15332,1295,15500,747,14000,2014,15000,2457,NULL,NULL,NULL,NULL,NULL,0.3456,0.1416,16646,785,6625,521,57200,95900,63500,79800,1979,36,5,390,94,153,1,90,98,1112
