INSTNM,UNITID,Year,C100_4,C150_4,C150_4_NRA,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,DEBT_N,DEP_DEBT_MDN,DEP_DEBT_N,FEMALE_DEBT_MDN,FEMALE_DEBT_N,GRAD_DEBT_MDN,GRAD_DEBT_N,IND_DEBT_MDN,IND_DEBT_N,MALE_DEBT_MDN,MALE_DEBT_N,MD_INC_DEBT_MDN,MD_INC_DEBT_N,NOPELL_DEBT_MDN,NOPELL_DEBT_N,NOTFIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_N,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,PCTFLOAN,PCTPELL,PELL_DEBT_MDN,PELL_DEBT_N,WDRAW_DEBT_MDN,WDRAW_DEBT_N,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,D150_4,D150_4_2MOR,D150_4_AIAN,D150_4_ASIAN,D150_4_BLACK,D150_4_HISP,D150_4_NHPI,D150_4_NRA,D150_4_UNKN,D150_4_WHITE
Northwestern University,147767,2012-13,0.858252427,0.9296,0.8911,0.881560284,0.925039872,0.94,2714,16759.5,2068,13816.5,1460,16167,2163,6000,646,13813.5,1254,13984.5,696,13024,1986,14450,2393,NULL,NULL,NULL,NULL,NULL,0.3533,0.1377,15650,728,6332,565,54000,91800,61200,75300,2060,24,2,351,115,155,0,101,91,1221
Indiana University,151351,2012-13,0.549082314,0.7533,0.7143,0.831766452,0.859433458,0.912850467,10883,18446.5,10238,18350.5,5540,23481.5,2204,16284,645,18186,5343,17750,3088,18000,6022,18500,8261,4726,7435,14634,18614,19701,0.4102,0.2011,18500,4861,16000,8691,38300,46500,36400,42000,7208,51,22,277,339,176,2,210,44,6087
University of Iowa,153658,2012-13,0.46875,0.6981,0.7143,0.766401591,0.831768388,0.903365907,8742,15751,7229,15000,4568,21008,4754,9500,1513,15000,4174,15667.5,2602,14000,5044,15000,6734,9132,12328,16228,18513,18967,0.4853,0.1916,17000,3698,8607,4011,40700,55700,40800,46100,4256,0,24,168,81,110,0,28,91,3754
University of Maryland,163286,2012-13,0.632099391,0.8202,0.5806,0.827667814,0.871037659,0.925547445,8069,14994.5,7084,14957,3966,17750,5224,14707,985,14934,4103,14500,2223,15000,4501,14967.5,6358,7605,11730,16182,19498,20892,0.3615,0.1886,14800,3568,8980,2871,47400,48800,42900,51800,3944,84,14,584,590,314,3,31,135,2189
University of Michigan - Ann Arbor,170976,2012-13,0.760268857,0.9068,0.8924,0.784162241,0.832104832,0.872930464,7263,19708,6902,19500,3693,21500,5858,13147,361,19500,3570,20811,1956,19500,4354,19500,6090,5431,7909,12348,18851,23166,0.3819,0.1632,19938,2909,7250,1431,53000,66500,48400,64800,5356,164,12,598,267,298,0,223,239,3555
Michigan State University,171100,2012-13,0.52983826,0.7913,0.6797,0.7538874,0.83271662,0.896659536,13427,19500,12509,19762,7431,24432,8426,18889,918,19125,5996,21151,3849,18250,6640,19500,10230,6394,11942,18188,20883,22069,0.5056,0.2514,21290,6787,7455,5090,40700,48000,38400,45100,7306,66,36,388,614,232,1,256,74,5639
University of Minnesota,174066,2012-13,0.504614249,0.7294,0.7246,0.788289051,0.850688817,0.909090909,13867,15000,11486,15000,7586,19944,8451,15526,2381,15485,6281,15204,4041,15000,7048,15000,10836,9184,10336,14888,19715,22226,0.4694,0.2292,16103,6819,7500,5466,40700,56500,40200,47900,5418,0,57,640,284,109,0,69,65,4194
University of Nebraska,181464,2012-13,0.29414838,0.6463,0.6809,0.791679138,0.860291624,0.901401869,7899,12750,7130,12644,3871,21001,4188,12500,769,12661,4028,12500,2749,12000,4122,12750,6003,9972,11071,14710,17730,18376,0.4554,0.2274,13200,3777,6500,3734,36900,36600,33800,39700,3828,0,35,117,102,156,0,47,126,3245
Rutgers University,186380,2012-13,0.569129917,0.7931,0.86,0.728451296,0.797092938,0.874465604,19005,16106,15991,16500,9940,20500,12175,18000,3014,16099,9065,17408,5614,15000,8443,16250,12852,11992,14436,20361,24940,25932,0.5642,0.3069,17852.5,10562,7500,6924,43500,53600,43300,47700,5253,0,5,1478,505,453,0,100,177,2535
The Ohio State University,204796,2012-13,0.526189716,0.8243,0.7889,0.707457591,0.787252475,0.83829469,21637,13500,18057,13125,10956,20500,11233,12500,3580,13287,10681,13667.5,6772,13000,9901,13699.5,14540,13273,15017,20522,23456,24559,0.4766,0.2372,13625,11736,5784,10485,37900,37600,34000,41400,6262,0,29,388,400,187,0,90,109,5059
Penn State University,214777,2012-13,0.654230097,0.8557,0.75,0.811569369,0.86018112,0.904868591,34666,19000,28850,18000,16886,26000,19596,14500,5816,18500,17780,18250,11351,18250,16394,19000,22890,18115,19579,24084,28243,29980,0.5384,0.188,18321.5,18272,6250,15181,40800,41800,36700,44300,8016,0,5,454,302,271,0,192,0,6792
University of Wisconsin,240444,2012-13,0.526362507,0.818,0.6594,0.869520688,0.893975332,0.93876372,8266,18469,7565,17993,4463,21348.5,6128,13800,701,17939,3803,19265,2361,17000,5380,17800,6631,7323,9513,15668,20039,21541,0.3793,0.1629,20027,2886,8000,2161,45500,48500,42300,50100,5633,0,36,374,185,206,0,229,145,4458
Purdue University,243780,2012-13,0.393451957,0.6945,0.6995,0.846965243,0.908184903,0.930324994,9564,17903,8739,18750,4220,22125,6494,14750,825,16943,5344,17500,2985,17500,4857,17500,7108,6410,8832,14860,19355,21163,0.4135,0.2232,18049,4707,7500,3093,45100,52400,39600,49900,7430,0,49,461,279,228,0,416,43,5954
