UNITID,INSTNM,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,CIP01BACHL,CIP03BACHL,CIP04BACHL,CIP05BACHL,CIP09BACHL,CIP10BACHL,CIP11BACHL,CIP12BACHL,CIP13BACHL,CIP14BACHL,CIP15BACHL,CIP16BACHL,CIP19BACHL,CIP22BACHL,CIP23BACHL,CIP24BACHL,CIP25BACHL,CIP26BACHL,CIP27BACHL,CIP29BACHL,CIP30BACHL,CIP31BACHL,CIP38BACHL,CIP39BACHL,CIP40BACHL,CIP41BACHL,CIP42BACHL,CIP43BACHL,CIP44BACHL,CIP45BACHL,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,CIP50BACHL,CIP51BACHL,CIP52BACHL,CIP54BACHL,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,NPT4_75UP_PUB,NUM4_PUB,NUM41_PUB,NUM42_PUB,NUM43_PUB,NUM44_PUB,NUM45_PUB,PCTPELL,C150_4,D150_4,C150_4_NRA,PCTFLOAN,COMPL_RPY_1YR_RT,FEMALE_RPY_1YR_RT,MALE_RPY_1YR_RT,COMPL_RPY_3YR_RT,FEMALE_RPY_3YR_RT,MALE_RPY_3YR_RT,COMPL_RPY_5YR_RT,FEMALE_RPY_5YR_RT,MALE_RPY_5YR_RT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,PELL_DEBT_MDN,NOPELL_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,DEBT_N,GRAD_DEBT_N,WDRAW_DEBT_N,LO_INC_DEBT_N,MD_INC_DEBT_N,HI_INC_DEBT_N,DEP_DEBT_N,IND_DEBT_N,PELL_DEBT_N,NOPELL_DEBT_N,FEMALE_DEBT_N,MALE_DEBT_N,FIRSTGEN_DEBT_N,NOTFIRSTGEN_DEBT_N,FEMALE_RPY_1YR_N,MALE_RPY_1YR_N,FEMALE_RPY_3YR_N,MALE_RPY_3YR_N,FEMALE_RPY_5YR_N,MALE_RPY_5YR_N,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,GRAD_DEBT_MDN_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,C100_4,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,Year
204796,The Ohio State University,0.0422,0.0183,0.0119,0.0028,0.0581,0,0.006,0,0.0311,0.1431,0,0.0184,0.0405,0,0.0175,0.0016,0,0.0862,0.0142,0,0.0028,0.0178,0.0026,0,0.0148,0,0.0541,0,0.0204,0.1031,0,0,0,0.0031,0.0231,0.0877,0.1698,0.0089,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,2,1,1,17231,8442,10850,15463,20029,22376,9431,13517,21517,2570,419,292,400,534,925,0.2042,0.8367,6651,0.8493,0.4141,NULL,NULL,NULL,0.746796827,0.605,0.651822311,0.789102686,0.665845033,0.693764631,21500,7500,13500,16000,16415.5,15500,16000,17000,14393,15500,15500,15695,15500,19962,12021,8131,5060,5714,9188,17301,2661,10097,9865,10221,9741,5525,14437,NULL,NULL,9200,9027,9331,9398,NULL,NULL,NULL,NULL,21500,0.605,0.651822311,0.5874,4981,401,232,373,24,0,77,491,72,2016-17
214777,Penn State University,0.0295,0.0129,0.006,0.0029,0.0873,0,0.0617,0,0.0315,0.1681,0,0.0129,0.0202,0,0.0092,8.00E-04,0,0.0561,0.0165,0,0.0128,0.0341,0.0032,0,0.0336,0.002,0.0346,0.0355,0,0.0766,0,0,0,0,0.0215,0.0548,0.169,0.0065,2,1,1,1,1,0,2,0,2,2,0,1,2,0,1,2,0,1,1,0,1,1,1,0,2,1,2,2,0,2,0,0,0,0,1,1,2,1,29806,20873,22463,26481,31105,33278,21488,25045,32730,2314,266,168,302,398,1180,0.1546,0.8553,7321,0.8138,0.4733,NULL,NULL,NULL,0.793193717,0.633280102,0.723372872,0.869772866,0.716619271,0.777003066,26120,9500,18750,20500,19750,20281,18000,21500,19000,19500,19750,19500,19970,35253,19877,15580,9569,10638,15046,28537,6716,17890,17363,17654,17599,11540,23713,NULL,NULL,15655,16271,15121,16637,NULL,NULL,NULL,NULL,26120,0.633280102,0.723372872,0.6752,5484,305,425,302,4,1,172,596,32,2016-17
240444,University of Wisconsin,0.0366,0.0162,0.0014,0.0123,0.0587,0,0.0289,0,0.0169,0.1176,0,0.0331,0.0264,0.0094,0.0197,0,0,0.1425,0.0215,0,0.0272,0.0143,0.0062,0,0.0199,0,0.0382,0,0.0114,0.1129,0,0,0,0,0.0198,0.0646,0.1256,0.0186,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,2,1,1,19320,7667,10700,16445,21835,23663,9235,14298,23069,1838,170,182,305,384,797,0.1353,0.8493,5920,0.814,0.3366,NULL,NULL,NULL,0.877771769,0.828542095,0.85095729,0.907372401,0.873796249,0.871179039,22241,11628.5,17000,21436.5,19568.5,19799.5,17853.5,21650,19444,20500,19200,20100,19500,7934,6035,1978,1014,2028,4892,7420,514,2626,5308,4175,3759,1221,6713,NULL,NULL,3896,3395,3946,3206,NULL,NULL,NULL,NULL,22241,0.828542095,0.85095729,0.5637,4676,120,226,343,17,9,144,371,14,2016-17
243780,Purdue University,0.0592,0.0099,0.0029,0.0036,0.0219,0,0.0549,0,0.0395,0.2052,0.0626,0.006,0.0156,0,0.0076,0.0061,0,0.0317,0.0353,0,0.0048,0.0143,9.00E-04,0,0.0216,0,0.0223,0,0,0.0464,0,5.00E-04,0,0.0163,0.0179,0.0704,0.2168,0.006,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,2,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,13545,4250,6005,10828,17605,21323,5103,8767,19806,2087,327,309,414,423,614,0.1771,0.7632,6454,0.7789,0.3122,NULL,NULL,NULL,0.858415842,0.756472699,0.800120652,0.903284072,0.81443299,0.840815563,20428,7000,15571,16845.5,18500,17380,15404,18000,16162,16874,17500,18500,16856,7840,5901,1964,1427,2182,4231,7349,491,3552,4288,3584,4256,1759,6081,NULL,NULL,3901,4973,3977,5346,NULL,NULL,NULL,NULL,20428,0.756472699,0.800120652,0.4883,4593,216,227,387,6,7,121,796,101,2016-17
145637,University of Illinois at Urbana-Champaign,0.0644,0.008,0.0191,0.0116,0.0751,0,0.0343,0,0.0232,0.2041,0,0.0091,0.0076,0,0.0193,0.0021,0,0.0702,0.0233,0,0.0095,0.04,0.0022,0,0.0308,0,0.0543,0,0.0067,0.0776,0,0,0,0,0.0216,0.053,0.1233,0.0096,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,2,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,18143,6906,11154,16974,23933,27207,8606,14297,26183,2784,613,409,480,401,881,0.2049,0.8517,6974,0.7783,0.3759,NULL,NULL,NULL,0.825991189,0.758230711,0.808123878,0.85845987,0.801008969,0.834739062,20500,8750,16500,19551,18500,18750,15205.5,19231.5,17750,19000,18250,18500,18634,9496,7267,2262,2129,2707,4660,9082,414,4450,5046,4403,5093,1972,7524,NULL,NULL,3979,4456,3568,3794,NULL,NULL,NULL,NULL,20500,0.758230711,0.808123878,0.7097,4310,413,471,931,11,1,148,672,17,2015-16
147767,Northwestern University,0,0.0085,0.0031,0.0066,0.2124,0,0.0201,0,0.005,0.1489,0,0.012,0,0.005,0.0232,8.00E-04,0,0.0507,0.0259,0,0.0085,0,0.0058,0,0.0162,0,0.0727,0,0.0398,0.1679,0,0,0,0,0.0832,0.0159,0.0456,0.0221,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1376,0.9276,2128,0.8584,0.3008,NULL,NULL,NULL,0.919137466,0.861611374,0.880044843,0.930918846,0.90530303,0.887652948,18000,11000,8000,18599,18008,18000,6000,18420,15333,15425,16554,12865,16483,2414,1829,606,583,594,1237,1977,437,729,1685,1271,1143,300,2114,NULL,NULL,1055,892,1056,899,NULL,NULL,NULL,NULL,18000,0.861611374,0.880044843,0.8242,1186,117,148,467,3,1,31,113,62,2015-16
151351,Indiana University,0,0.0021,0,0.0053,0.0768,0.0015,0.0527,0,0.0651,0,3.00E-04,0.0203,0.0189,0,0.0129,0.0424,0,0.0764,0.0142,0,0.0015,0.0741,0.0057,0,0.0146,0,0.0459,0.0167,0.0676,0.0862,0,4.00E-04,0,0,0.0497,0.0404,0.1989,0.0096,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,2,1,15349,5875,8070,14989,20641,22226,6791,11944,21628,2600,518,371,472,468,771,0.1604,0.7706,7301,0.7494,0.3202,NULL,NULL,NULL,0.869123932,0.739243028,0.713116431,0.89375,0.798824298,0.76461039,22482.5,7750,14983,18404,18916,17819.5,18000,18524,17289,18200,17500,17362.5,18000,9572,5898,3717,1902,2618,5052,9076,496,4154,5418,4989,4583,2066,7506,NULL,NULL,5020,4887,4593,4312,NULL,NULL,NULL,NULL,22482.5,0.739243028,0.713116431,0.6012,5833,348,249,307,13,12,114,387,38,2015-16
153658,University of Iowa,0,0.0072,0,0.0045,0.0809,0,0.0159,0,0.0173,0.0916,0,0.018,0,0,0.0411,0.0413,0,0.0291,0.0254,0,0.0293,0.1271,0.005,0,0.0122,0,0.0578,0,0.0099,0.0832,0,0,0,0,0.0528,0.0576,0.1804,0.0124,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,2,0,1,1,0,2,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,2,1,14085,8188,10650,13560,16223,17551,9251,12298,17004,1385,237,180,235,302,431,0.1918,0.7208,4004,0.7345,0.4384,NULL,NULL,NULL,0.787415392,0.71053316,0.708204985,0.837914024,0.782800441,0.773410035,21500,8250,13500,16875,17857,17545,11766,18981,14849,16197,16649,16750,16250,8606,5385,3249,2117,2406,4083,7215,1391,3698,4908,4585,4021,1903,6703,NULL,NULL,3845,3571,3628,3129,NULL,NULL,NULL,NULL,21500,0.71053316,0.708204985,0.511,3224,88,188,124,7,7,48,226,92,2015-16
163286,University of Maryland,0.0257,0.0083,0.0082,0.0151,0.0624,0,0.0513,0,0.048,0.1226,0,0.0218,0.0235,1.00E-04,0.0236,0,0,0.0953,0.0184,0,0.0026,0.0339,0.0065,0,0.0214,0,0.047,0,0,0.1667,0,0,0,0,0.0265,0.0163,0.1349,0.0198,1,1,1,2,1,0,2,0,1,1,1,1,1,1,1,1,0,2,1,0,2,1,1,0,1,0,1,1,0,1,0,0,0,0,1,2,1,1,15634,5924,7903,12846,18745,22106,6857,10628,20913,1249,186,166,204,246,447,0.1941,0.8635,4199,0.7143,0.344,NULL,NULL,NULL,0.858476232,0.78726442,0.813352273,0.885815603,0.817955112,0.830754951,19500,8500,14000,16500,16835.5,16050,15620,16500,15534.5,16500,15750,15000,16500,8069,5772,2332,1790,2053,4226,7062,1007,3701,4368,3903,4166,1657,6412,NULL,NULL,3502,3520,3208,3232,NULL,NULL,NULL,NULL,19500,0.78726442,0.813352273,0.695,2630,367,275,676,7,2,94,84,64,2015-16
170976,University of Michigan - Ann Arbor,0,0.0135,0.0097,0.0133,0.0322,0,0.0575,0,0.0131,0.1706,0,0.0305,0,0,0.0295,0.0104,0,0.0946,0.0281,0,0.0326,0.0327,0.0052,0,0.0157,0,0.1021,0,0.0086,0.1241,0,0,0,0,0.058,0.0241,0.0747,0.0192,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,2,1,1,14521,3414,6561,9761,17163,23687,4610,8453,21461,1563,289,177,256,287,554,0.1538,0.9011,6019,0.8899,0.3202,NULL,NULL,NULL,0.821681232,0.77324263,0.793366501,0.840500945,0.79363337,0.804614812,20062.5,8545,15876,20400,19200,19250,12032.5,19170,18784,19041,18900,18872.5,19000,7001,5906,1129,1360,1768,3873,6691,310,2861,4140,3510,3491,1078,5923,NULL,NULL,3087,3015,2733,2687,NULL,NULL,NULL,NULL,20062.5,0.77324263,0.793366501,0.7481,4316,237,251,727,8,2,198,218,62,2015-16
